record_id,disease_domain,organization___1,organization___2,organization___3,organization___4,organization___5,organization___6,organization___7,organization___8,organization___9,organization___10,leadership,professional_position,years_professional_experience,country,curation_orgs___1,curation_orgs___2,curation_orgs___3,curation_orgs___4,curation_orgs___5,curation_orgs___6,other_orgs,gender,clin_diag_setting,research_purposes,returning_to_patients,discussing_with_patients,discussing_with_labs,multidisciplinary_meeting,vcep_gcep,genetic_variant_assessment,variant_volume,proportion_vus,functional_data_avail,reinterpretation_vus_1,reinterpretation_vus_2,conflicting_evidence,handling_conflicting_evid,eval_func_data_research,curate_func_data_class,use_func_data_clin_setting,req_func_evidence_diag_lab,req_func_evid_research_lab,req_hearing_vision_lab,req_not_hearing_vision_lab,other_activities,biochemical_assays,splice_transcriptomics,pat_cell_models,gene_edit_cell,unclear_mech,animal_models,ko_mouse_models,ki_mouse_models,zf_mo,zf_ko,zf_ki,fly_ortholog,fly_no_orth,other_categories,func_data_literature,func_data_distilled_lit,func_data_mouse_db,func_data_zf_db,func_data_mavedb,func_data_xenbase_db,func_data_other_db,func_predictors,func_data_mave_db,acmg_amp_guidelines,func_evidence_guidelines,splice_evid_guideline,vcep_specific_guidelines,svi_func_assay_assessment,hearing_loss_guidelines,mult_hl_genes_vcep,otof_myo15a_hl_genes_vcep,rpe65_lca_rd_vcep1,myoc_glaucoma_vcep,other_func_evid_guidelines,insuff_training,insuff_lof,insuff_gof,dom_neg_literature,haplo_databases,red_pen_lit,quality_func_evid,accuracy_func_evid,locating_primary_lit,var_databases,under_func_evi,under_databases,transcripts_hear_vision,other_barriers,workshops_on_use_func_data,ceu_cme_credit,non_ceu_cme_credit,online_training_worksheets,general_guidelines,gene_specific_guidelines,disease_spec_guidelines,access_clinvar_func_data,access_stand_interp_data,request_func_data,request_mave,other_access,literature_clin_utility,mave_clin_utility,more_clin_stud_clin_util,more_clin_stud_maves,clinvar_transc_statement,gene_level_plof,gene_level_dif_var,gene_level_func_evid,primary_lit,exp_design_clinvar,lof_gof_dom_neg,confidence_accuracy,links_to_primary_data,multiple_sources_listed,multiple_conflict_sources,standardized_interp,final_comments,assessment_of_current_and_future_approaches_to_add_complete
26,H+V,0,1,0,0,0,0,0,0,0,0,0,Research scientist,11-15,Argentina,1,0,0,0,0,0,"",Female,2,2,2,1,2,2,2,1,51-100,Very many,None,1-10,A moderate amount,No,"",2,3,2,1,1,1,3,-,3,4,5,3,2,5,5,5,4,5,5,4,4,-,5,4,5,4,4,4,4,4,4,4,4,4,5,5,6,6,6,5,,no,1,1,2,3,2,2,1,2,3,4,2,,5,-,5,5,5,5,4,5,5,5,5,5,5,-,4,2,4,5,4,4,4,5,4,4,4,5,4,4,4,2,-,2
30,H,0,1,0,0,0,0,0,0,0,0,1,Research scientist,More than 20,United Kingdom,0,1,0,0,0,0,"",Female,1,2,1,1,2,2,2,1,51-100,Many,Some,11-25,Some,Yes,cautiously,2,2,1,1,2,2,1,"",3,5,5,4,4,5,5,5,3,3,3,3,3,"",6,6,6,3,3,3,3,5,3,5,3,3,3,3,4,3,3,2,2,"",3,3,3,3,3,3,3,3,3,3,3,3,3,"",3,3,3,,3,3,4,3,3,4,3,"",2,2,4,4,4,3,4,4,3,4,,4,4,4,4,4,"",2
31,H+V,1,0,0,0,0,0,0,0,0,0,1,Clinical geneticist,11-15,Germany,0,0,0,0,0,0,"",Male,2,2,2,2,2,2,1,1,More than 100,Very many,Some,11-25,Some,No,"",2,1,2,1,2,3,3,"",4,4,3,3,3,4,4,4,3,4,3,3,3,"",5,5,4,3,3,3,3,5,3,5,5,5,5,5,5,5,5,5,5,"",4,4,4,4,4,4,4,5,3,3,3,3,3,"",3,3,3,3,4,4,4,3,4,4,4,"",2,2,4,4,4,2,2,3,3,3,4,3,3,3,4,4,"",2
33,H+V,1,0,0,0,0,0,0,0,0,0,0,Lab technician,0-5,United States of America,0,0,0,0,0,0,"",Male,1,2,1,1,2,2,3,1,51-100,Many,Some,None,None,Yes,"Document the conflicting findings, and include both sides in the report",1,1,1,1,3,3,3,"",5,5,3,1,2,1,1,1,1,1,1,1,1,"",5,6,1,1,1,1,1,6,5,6,6,6,1,6,6,6,1,1,1,"",3,1,3,3,4,4,4,4,3,3,3,3,3,"",4,5,5,5,5,5,5,4,5,3,3,"",2,3,4,3,4,4,4,4,4,5,5,4,4,4,5,4,"",2
35,H+V,1,0,0,0,0,0,0,0,0,0,1,Lab director,More than 20,Japan,1,0,0,0,0,0,"",Male,2,2,2,2,2,2,2,1,More than 100,Very many,A moderate amount,1-10,Very many,Yes,I followed the rules set by the ClinGen HLWG.,2,2,2,3,3,3,3,"",1,3,4,3,1,4,4,4,1,1,1,1,1,"",6,5,2,1,1,1,1,6,1,6,1,5,5,5,6,6,5,1,1,"",1,1,1,1,1,1,1,1,1,4,1,3,1,"",5,5,5,4,4,4,4,3,4,4,4,"",4,4,4,4,4,3,4,4,3,3,4,3,3,4,4,4,"",2
40,H,1,0,0,0,0,0,0,0,0,0,1,Clinical geneticist,More than 20,Germany,0,0,0,0,0,0,"",not specified,2,,2,2,2,,,1,51-100,Very many,A moderate amount,1-10,Very many,Yes,"",,,,,,,,"",,4,,,,,,,,,,,,"",5,5,,,,,,,,5,,,,,,,,,,"",3,3,3,3,1,1,,,4,4,3,3,,"",,4,4,,,,,,,,,"",,,,,,3,4,4,,,,,,,,5,"",2
42,H+V,1,0,0,0,0,0,0,0,0,0,0,Clinical geneticist,More than 20,Germany,0,0,0,0,0,1,"",Female,2,2,1,1,3,3,3,1,More than 100,Many,Some,1-10,A moderate amount,Yes,described conflicting data and mosly classified as VUS,1,1,2,2,,3,1,evaluating protein structures,4,4,,3,3,2,3,3,2,2,2,,1,"",6,5,,,,,2,5,,6,5,,,,5,5,4,4,5,"",3,2,4,3,4,4,3,3,3,3,3,3,4,"",3,3,3,3,3,4,4,5,5,2,2,"",3,,3,3,5,4,3,3,5,2,3,3,4,4,4,4,"",2
44,H,1,0,0,1,0,0,0,0,0,0,1,Laboratory medical geneticist,16-20,France,0,0,0,0,0,0,"",Female,2,2,1,1,2,2,3,1,More than 100,Very many,Some,1-10,Many,No,"",2,1,2,3,1,2,3,no,5,4,4,,1,3,2,2,2,2,2,1,1,"",5,4,4,1,1,1,1,4,1,5,1,1,1,1,4,1,1,1,1,"",5,5,5,5,5,5,5,5,5,5,5,5,5,"",5,2,2,4,2,2,4,5,5,5,3,"",2,3,4,4,4,4,3,4,4,3,3,3,5,4,4,4,"",2
45,H,1,0,0,0,0,0,0,0,0,0,0,Other,11-15,Germany,0,0,0,0,0,0,"",Female,2,2,2,1,3,1,1,1,More than 100,Very many,Some,1-10,Many,Yes,classification as VUS,2,2,2,2,1,1,1,"",3,4,4,4,2,2,3,3,1,1,1,1,1,"",5,5,3,2,2,1,1,6,1,5,5,5,5,3,6,6,6,4,4,"",2,2,3,3,2,3,2,2,1,1,2,2,1,"",5,5,5,4,5,5,5,3,3,4,4,"",3,2,3,3,5,5,4,4,5,4,4,5,4,5,5,4,"",2
46,H,0,0,0,0,0,1,0,0,0,0,0,Clinical geneticist,0-5,Denmark,0,0,0,0,0,1,"",Male,2,2,2,2,2,2,3,1,51-100,Very many,Some,1-10,Very many,Yes,Assesed the articles to find which is most trustworthy/which of the functional evidense should count more,2,3,2,2,2,2,1,"",3,4,3,4,3,4,4,4,,4,4,4,1,"",4,6,5,1,1,1,1,5,1,4,4,5,5,5,5,5,5,1,1,"",4,4,4,4,4,4,4,4,3,4,5,4,1,"",5,5,5,5,3,4,2,5,5,5,3,"",2,2,4,4,4,3,4,4,3,4,4,4,2,4,4,4,"",2
47,H+V,1,0,0,0,0,0,0,0,0,0,1,Clinical geneticist,11-15,China,1,0,0,0,0,0,"",Male,2,2,2,2,2,2,2,1,More than 100,Very many,Some,51-100,A moderate amount,Yes,"Functional result is usually assessed as supporting evidence to interpret the genetic phenomenon In most cases, such variants will likely remain classified as VUS, unless the reasons for the conflict in functional results can be explained or resolved.",2,2,2,2,2,2,2,not yet,3,2,3,2,2,2,3,4,2,2,2,2,1,No,4,4,3,3,1,1,1,3,1,3,3,3,5,5,6,6,6,5,5,No,1,1,1,1,1,1,4,4,3,4,1,1,4,No,5,4,4,4,2,5,3,4,4,5,3,No,3,3,5,4,5,5,4,3,5,5,5,5,5,5,5,3,No,2
51,H+V,1,0,0,0,0,0,0,0,0,0,1,Lab director,6-10,South Korea,0,0,0,0,0,1,"",Male,2,2,1,1,2,2,3,1,More than 100,Very many,Some,1-10,Some,Yes,We usually try to confirm the pathogenicity of variants in vivo using animal models,2,2,2,2,2,2,2,"",4,4,3,4,3,4,5,5,2,3,3,2,2,"",4,3,5,3,3,3,3,3,3,4,4,5,4,4,5,5,5,5,5,"",4,4,5,4,4,5,5,5,4,4,3,3,4,"",5,4,4,5,5,5,5,5,4,4,5,"",4,4,4,4,4,4,4,5,4,3,3,4,4,4,4,4,"",2
55,H,1,0,0,0,0,0,0,0,0,0,0,Clinical geneticist,More than 20,Germany,0,0,0,0,0,0,"",Male,2,2,2,2,2,2,1,1,More than 100,Many,Some,11-25,Some,No,"",2,1,2,1,1,1,1,"",5,5,5,4,4,4,4,4,3,3,3,3,3,"",6,6,1,1,1,1,3,3,1,6,5,5,1,5,5,5,5,5,5,"",2,2,2,2,2,2,1,1,1,1,1,1,2,"",4,4,4,4,2,2,2,2,2,2,2,"",4,3,4,3,3,4,4,4,4,4,4,5,5,5,5,5,"",2
57,H,1,0,0,0,0,0,0,0,0,0,0,Research scientist,0-5,Iran,0,0,0,0,0,0,"",Female,2,2,2,3,2,3,3,1,11-25,A moderate amount,None,None,None,No,"",2,3,3,3,3,3,2,"",3,5,4,5,4,5,5,5,,4,4,4,4,"",5,5,6,,,,,4,,5,,,1,,,,,,,"",5,3,4,4,4,5,5,5,,,2,2,2,"",2,,,,,,,,,,,"",4,4,4,,4,4,4,3,4,4,4,4,4,4,4,4,"",2
60,H,0,0,0,0,0,0,0,0,0,1,0,Research scientist,0-5,not specified,0,0,0,0,0,1,"",Female,2,2,2,2,3,3,1,1,11-25,A moderate amount,Some,None,None,No,"",2,3,3,3,3,1,3,No,3,3,5,4,1,5,5,5,5,5,4,4,4,No,6,6,5,5,5,6,,5,5,6,6,5,5,6,6,6,6,5,5,"",5,5,4,4,4,4,5,5,5,,1,1,5,"",5,5,5,5,5,5,4,5,5,5,5,"",4,3,5,5,5,5,4,4,5,5,5,5,5,4,5,5,"",2
61,H+V,1,0,0,0,0,0,0,0,0,0,1,Genetic counselor,11-15,United States of America,0,0,0,0,0,0,"",Female,2,1,2,2,2,2,1,1,More than 100,Many,Some,11-25,Some,No,"",2,2,2,3,3,3,3,"",2,2,2,2,2,3,3,3,2,2,2,2,2,"",6,6,4,1,1,1,1,4,1,6,5,5,1,5,6,6,6,6,6,"",3,3,3,3,3,3,3,3,5,5,4,4,4,"",3,5,2,2,2,2,2,4,4,5,2,"",,,,,,3,,,,,,,,,,,"",2
62,V,0,1,0,0,0,0,0,0,0,0,0,Research scientist,0-5,Pakistan,0,0,0,0,0,1,"",Male,3,2,2,2,2,2,3,1,51-100,Many,Some,1-10,Some,No,"",3,3,3,3,2,2,2,"",2,4,4,4,4,5,5,5,5,5,5,4,3,"",4,6,6,5,5,5,5,6,5,6,3,3,3,3,6,5,5,5,3,"",5,5,5,5,5,5,5,5,5,4,3,3,3,"",5,5,5,5,5,5,5,5,5,5,5,"",3,2,4,4,4,4,4,4,4,5,5,4,4,4,4,4,"",2
64,H,1,1,0,0,0,0,0,0,0,0,0,Laboratory medical geneticist,6-10,Slovakia,0,0,0,0,0,1,"",Female,2,2,2,2,2,2,3,1,More than 100,Many,Some,11-25,A moderate amount,No,"",2,2,2,2,2,2,2,no,5,5,3,3,1,4,4,4,2,4,4,3,1,no,6,4,4,4,1,1,4,6,1,6,6,4,4,6,6,6,4,1,1,no,1,1,2,4,1,5,1,1,5,1,1,5,5,no,3,3,3,5,5,5,5,5,5,5,3,no,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,4,no,2
65,H,1,0,0,0,0,0,0,0,0,0,,Clinical geneticist,0-5,Mali,0,0,0,0,0,0,"",not specified,3,2,2,2,3,,,1,11-25,A moderate amount,None,None,None,,"",3,2,3,3,3,3,3,"",3,3,1,1,5,1,1,1,1,1,1,1,1,"",6,6,6,4,5,5,4,6,5,6,6,6,6,6,6,6,6,6,6,"",1,1,1,1,1,1,1,1,1,1,1,1,1,"",5,5,5,5,,5,5,5,5,5,5,"",3,3,3,3,3,5,2,5,5,5,5,5,5,5,5,5,"",2
66,V,1,0,0,0,0,0,0,0,0,0,1,Ophthalmologist,More than 20,United States of America,1,0,0,0,0,0,"",Female,1,1,2,2,2,2,2,1,11-25,Very many,None,None,None,No,"",1,1,1,3,2,2,2,"",3,3,5,4,3,3,3,3,2,2,2,2,2,"",4,5,1,1,1,1,1,1,1,6,5,5,6,5,1,1,1,6,1,"",5,5,5,5,5,5,5,4,4,5,4,4,4,"",5,5,4,4,5,5,5,4,4,5,5,"",4,3,2,2,4,4,4,4,2,4,4,4,3,4,4,5,"",2
67,H,1,0,0,0,0,0,0,0,0,0,1,Clinical geneticist,More than 20,United Kingdom,1,1,0,0,0,0,"",Male,2,2,2,2,2,2,,1,26-50,Some,Some,1-10,Some,Yes,varies dependent upon the nature of it and the balance,2,2,2,2,2,2,2,often not clear - no resources to know who is undertaking this type of reclassification research,3,4,3,3,3,3,4,3,3,3,3,3,3,tRNA processing assays  aminoacylation assays,5,5,4,4,4,4,4,4,5,5,5,5,4,5,4,4,4,2,2,"",3,3,3,3,3,3,3,3,3,3,3,3,3,"",4,3,3,3,3,3,3,4,3,3,3,"",3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,"",2
70,H+V,0,0,1,0,0,0,0,0,0,0,1,Variant review scientist,6-10,not specified,0,0,0,0,0,1,"",not specified,2,2,2,2,2,3,3,1,More than 100,Many,Some,11-25,Some,No,"",2,3,3,3,3,3,3,"",3,4,5,3,2,4,4,4,4,4,4,4,3,"",4,5,5,1,1,5,4,4,4,5,5,5,1,5,5,5,5,5,5,"",3,3,3,3,3,3,3,3,3,2,3,3,3,"",5,5,5,5,4,4,3,3,4,5,5,"",4,4,4,3,4,4,4,3,4,4,4,4,5,5,4,4,"",2
72,V,1,0,0,0,0,0,0,0,0,0,1,Genetic counselor,16-20,not specified,1,0,0,0,0,0,"",not specified,2,2,2,2,2,2,2,1,More than 100,A moderate amount,None,11-25,Some,No,"",2,2,2,3,2,2,3,"",2,3,4,4,2,3,2,2,3,3,3,2,2,"",4,4,4,4,,,4,,4,2,5,4,6,5,6,6,6,6,6,"",1,1,2,2,2,3,4,4,3,4,1,3,5,"",2,2,2,2,5,5,5,5,5,5,5,"",2,2,4,4,5,4,4,4,4,4,4,3,4,4,4,3,"",2
78,V,1,0,0,0,0,0,0,0,0,0,0,Variant review scientist,0-5,United States of America,1,0,0,0,0,0,"",Male,3,2,3,1,3,3,2,1,51-100,Many,Some,1-10,Very many,Yes,"The practice in ClinGen VCEPs is to consult the experts about which piece of functional evidence is more convincing, if any. The evidence with better controls or more clinically relevant assays may be prioritized.",2,2,3,1,3,3,3,"Sometimes in the context of ClinGen VCEPs, the group members have the opportunity to advise research labs in the design of high-throughput assays which they hope will have sufficient positive and negative control variants to be awarded higher strength within the ACMG/AMP framework.",4,4,3,4,2,4,2,5,2,2,4,3,1,"",5,2,1,1,1,1,1,4,4,6,6,6,6,1,1,1,1,6,1,"",1,1,1,1,1,1,4,3,2,3,1,1,1,"",3,2,2,2,2,5,5,3,2,5,5,"",4,3,2,3,3,5,3,2,5,4,4,4,5,5,5,2,"",2
80,V,1,0,0,0,0,0,0,0,0,0,1,Research scientist,More than 20,Czechia,1,0,0,0,0,0,"",Female,2,2,2,2,2,2,2,1,26-50,Many,Some,1-10,Some,Yes,"There are many in ClinVar, we try to have a deeper look in the the literature and ocasionally generate our own data",1,2,2,2,2,2,3,"",4,5,4,1,3,2,1,1,1,1,1,1,1,"",5,,1,1,1,1,1,5,1,6,5,5,6,5,5,2,2,6,3,"",2,2,2,2,2,2,2,2,2,2,2,2,2,"",3,2,2,2,3,,,,,,2,"",3,3,3,3,4,4,4,4,4,3,4,3,3,4,4,3,"",2
81,V,1,0,0,0,0,0,0,0,0,0,1,Laboratory medical geneticist,0-5,Greece,1,1,1,0,0,0,"",Male,2,2,2,2,2,2,2,1,More than 100,Many,Some,1-10,Some,Yes,I am reviewing each functional experiments (methods and material) to conclude which is the most strong evidence.,2,2,2,2,2,2,2,"",3,4,5,4,3,3,3,3,3,3,3,4,3,"",5,4,4,3,1,1,1,5,5,5,6,6,6,6,5,6,6,6,6,"",4,3,3,3,3,3,3,3,4,4,4,4,3,"",4,3,3,4,3,3,4,4,4,5,5,"",4,4,5,4,4,4,4,4,4,3,4,3,2,5,4,3,"",2
84,H+V,1,0,0,0,0,0,0,0,0,0,0,Variant review scientist,6-10,United Arab Emirates,0,0,0,0,0,1,"",Male,2,2,1,1,2,3,1,1,51-100,Many,A moderate amount,11-25,Some,No,"",2,2,2,3,2,2,3,NO,3,2,4,4,4,5,5,5,5,5,5,5,5,"",3,4,4,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,NO,2,3,3,3,3,3,4,4,4,3,3,4,4,NO,4,4,4,4,4,3,3,4,4,3,3,"",4,4,5,5,5,5,5,4,5,5,5,5,4,5,5,3,"",2
89,H,1,0,0,0,0,0,0,0,0,0,1,Molecular genetic pathologist,6-10,Germany,0,0,0,0,0,0,"",Female,2,2,,2,2,2,,1,More than 100,Very many,Some,11-25,,Yes,"Detail paper reading. If unclear, this information were not used for variant classification. ",2,2,2,1,2,,,"",2,5,3,4,1,5,4,5,4,4,5,3,3,"",6,5,5,5,4,1,4,4,1,6,3,1,1,1,6,1,1,1,1,"",5,2,3,3,2,5,5,5,5,5,5,4,2,"",5,5,5,5,4,4,4,4,,5,5,"",2,3,4,4,5,5,4,4,5,5,5,4,5,5,5,4,"",2
91,V,1,0,0,0,0,0,0,0,0,0,0,Genetic counselor,6-10,Singapore,0,0,0,0,0,0,"",Female,2,2,2,2,2,2,3,1,11-25,Very many,Some,1-10,Some,No,"",3,3,2,3,3,1,1,"",4,3,4,4,2,2,3,3,3,3,3,3,3,"",4,5,1,1,1,1,1,3,1,5,5,4,4,4,4,1,1,4,1,"",3,2,4,4,3,4,4,4,5,3,4,3,4,"",4,2,2,4,4,4,4,4,4,4,3,"",2,2,4,4,5,3,4,4,3,3,4,4,3,4,4,3,"",2
92,H+V,1,0,0,0,0,0,0,0,0,0,1,Research scientist,16-20,United States of America,0,0,0,0,0,0,"",Male,3,2,2,2,2,2,3,1,More than 100,Many,None,26-50,Some,Yes,"I integrate with other evidence  and consider clinical, segregation, and computational data to support or refute functional findings.",3,2,2,1,3,3,2,"",5,4,5,4,4,5,5,5,3,5,5,5,2,"",5,4,6,6,5,5,5,5,5,5,4,5,1,1,1,1,1,1,1,"",4,2,4,4,2,4,4,4,2,4,2,2,2,"",5,5,5,5,5,4,4,5,5,4,5,"",2,5,3,3,5,5,5,5,4,3,4,3,4,4,4,4,"",2
